;;GENG.ID;ECOLEX.ID;IEA.ID;DocSign;DocForce;DocValidUntilDate;Title;Text;Notes;Download;Type;Ambit;Region;Subject.x;Subject.y;Keywords;Lineage;Sequence;AdoptedIn;Languages;Appendices;Depository;DepositoryURL;Published;Abstract;AbstractText;Website1;Website2;Secretariat;SecretariatURL;UNEP;Supersedes;References;EnabledBy;AmendedBy;Lit;Data;Coded
11;?;MGENG-0011;TRE-000072;IEA-2588;1885-06-30;1886-06-06;NA;Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin;http://iea.uoregon.edu/pages/view_treaty.php?t=1885-RhineSalmon.FR.txt&par=view_treaty_html;No repository found, not clear whether still in force;No;MEA (Agreement);Regional/restricted; Europe ;FISHS;FISHS and WATER;;Rhine - Lake Constance Fishing;500;Berlin;German | Dutch;NA;NA;;RGBL. 1886 p.192;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
12;;MGENG-0012;NA;IEA-2589;1887-05-18;1887-10-19;NA;Convention Between Switzerland, The Grand Duchy Of Baden, And Alsace-Lorraine, Establishing Uniform Provisions On Fishing In The Rhine And Its Tributaries, Including Lake Constance, With Final Protocol;http://iea.uoregon.edu/pages/view_treaty.php?t=1887-FishingRhineTributariesLakeConstance.FR.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;600;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
13;?;MGENG-0013;TRE-153896;IEA-4059;1887-11-16;1894-05-25;NA;Convention Respecting The Liquor Traffic In The North Sea;http://iea.uoregon.edu/pages/view_treaty.php?t=1887-NorthSeaLiquor.EN.txt&par=view_treaty_html | http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-153896.doc;No repository found, not clear whether still in force;Yes;MEA (Agreement);NA; Europe  |  North Sea  |  Benelux ;FISHS;FISHS; international agreement-text  |  marine fisheries  |  marine fishes  |  offences/penalties  |  viticulture/oenological practices ;North Seas Fishery;300;NA;French;NA;NA;;;NA;NA; www.just.fgov.be ;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
14;;MGENG-0014;NA;IEA-4676;1889-02-01;1890-02-21;NA;Declaration Modifying Article 8 Of The North Sea Fisheries Convention;http://iea.uoregon.edu/pages/view_treaty.php?t=1889-ModificationArticle8-1882-PoliceNorthSeasFishery.FR.txt&par=view_treaty_html;NA;No;MEA (Declaration);NA;NA;NA;FISHS and OCEAN;NA;North Seas Fishery;102;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
15;;MGENG-0015;NA;IEA-4443;1893-02-14;1894-05-25;NA;Protocol To The Convention Respecting The Liquor Traffic In The North Sea;http://iea.uoregon.edu/pages/view_treaty.php?t=1893-Protocol-1887-NorthSeaLiquor.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;FISHS;NA;North Seas Fishery;301;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
16;;MGENG-0016;NA;IEA-2591;1893-07-05;1893-12-22;NA;Convention Between Austria-Hungary, Baden, Bavaria, Liechtenstein, Switzerland And Wurttemberg Decreeing Uniform Regulations For Fishing In Lake Constance, Including A Final Protocol;http://iea.uoregon.edu/pages/view_treaty.php?t=1893-FishingInLakeConstance.FR.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and WATER;NA;Rhine - Lake Constance Fishing;700;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Internationale Gewasserschutz-Kommission fur den Bodensee;http://www.igkb.de;NA;NA;NA;NA;NA;NA;NA;NA
17;;MGENG-0017;NA;IEA-2592;1897-02-23;1897-06-04;NA;Convention Between Russia And Sweden And Norway Regulating The Salmon Fishery In The Tornea;http://iea.uoregon.edu/pages/view_treaty.php?t=1897-SalmonFisheryTornea.FR.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;Tornea Salmon;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
18;;MGENG-0018;NA;IEA-4690;1897-11-06;9999-00-00;1911-07-07;Convention For The Preservation Of The Fur Seal And Sea Otter In The North Pacific Ocean And Bering Sea;http://iea.uoregon.edu/pages/view_treaty.php?t=1897-FurSealSeaOtterNorthPacificOceanBeringSea.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;OCEAN;NA;North Pacific Fur Seals;500;NA;NA;NA;NA;;NA;NA;NA;NA;NA;North Pacific Fur Seal Commission;Secretariat went out of Existence;NA;NA;NA;NA;NA;TRUE;TRUE;NA
19;;MGENG-0019;NA;IEA-2593;1900-05-11;1900-07-01;NA;Convention Between The Riverine States Of The Rhine Respecting Regulations Governing The Transport Of Corrosive And Poisonous Substances (Amendments To Annex B Of Protocol 34 Of 1868 Revised Convention On The Navigation Of The Rhine);http://iea.uoregon.edu/pages/view_treaty.php?t=1900-RhineTransportCorrosivePoisonousSubstances.DE.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Rhine Pollution;100,04;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Central Commission for Navigation on the Rhine;http://ccr-zkr.org/;NA;NA;NA;NA;NA;TRUE;TRUE;NA
20;;MGENG-0020;NA;IEA-2597;1911-07-07;1911-12-15;NA;Convention Respecting Measures For The Preservation And Protection Of The Fur Seals In The North Pacific Ocean;http://iea.uoregon.edu/pages/view_treaty.php?t=1911-FurSeals.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;OCEAN;NA;North Pacific Fur Seals;700;NA;NA;NA;NA;;NA;NA;NA;NA;NA;North Pacific Fur Seal Commission;Secretariat went out of Existence;NA;NA;NA;NA;NA;TRUE;TRUE;NA
21;;MGENG-0021;NA;IEA-4413;1919-09-10;1920-07-31;NA;Convention Of Saint-Germain-En-Laye Revising The General Act Of Berlin, February 26,1885, And The General Act And Declaration Of Brussels, July 2,1890 (relating To Congo River Basin);http://iea.uoregon.edu/pages/view_treaty.php?t=1919-CongoRiver.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Congo River Basin;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Secretariat not yet identified;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
22;;MGENG-0022;NA;IEA-4501;1920-02-09;1925-08-14;NA;Protocol To The Treaty Concerning The Archipelago Of Spitsbergen;http://iea.uoregon.edu/pages/view_treaty.php?t=1920-Protocol-1920-ArchipelagoSpitsbergen.EN.txt&par=view_treaty_html;NA;No;MEA (Protocol);NA;NA;NA;WATER;NA;Spitsbergen;101;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;NA
23;;MGENG-0023;NA;IEA-2598;1920-02-09;1925-08-14;NA;Treaty Concerning The Archipelago Of Spitsbergen;http://iea.uoregon.edu/pages/view_treaty.php?t=1920-ArchipelagoSpitsbergen.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Spitsbergen;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;No known secretariat;No Secretariat Exists;NA;NA;NA;NA;NA;NA;NA;TRUE
24;?;MGENG-0024;NA;IEA-2601;1923-12-09;1925-06-30;NA;Convention Relating To The Development Of Hydraulic Power Affecting More Than One State;http://iea.uoregon.edu/pages/view_treaty.php?t=1923-DevelopmentHydraulicPower.EN.txt&par=view_treaty_html;No repository found, not clear whether still in force;Yes;MEA (Agreement);NA;NA;NA;ENRGY and WATER;NA;Hydraulic Power;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;United Nations Department of Economic and Social Affairs, Programme of Technical Cooperation;http://www.un.org/esa/cdo/about.html#tech;NA;NA;NA;NA;NA;NA;NA;NA
25;?;MGENG-0025;NA;IEA-4280;1923-12-09;1925-06-30;NA;Protocol Of Signature Of The Convention Relating To The Development Of Hydraulic Power Affecting More Than One State;http://iea.uoregon.edu/pages/view_treaty.php?t=1923-Protocol-1923-DevelopmentHydraulicPower.EN.txt&par=view_treaty_html;No repository found, not clear whether still in force;No;MEA (Protocol);NA;NA;NA;ENRGY and WATER;NA;Hydraulic Power;101;NA;NA;NA;NA;;NA;NA;NA;NA;NA;United Nations Department of Economic and Social Affairs, Programme of Technical Cooperation;http://www.un.org/esa/cdo/about.html#tech;NA;NA;NA;NA;NA;NA;NA;NA
26;;MGENG-0026;TRE-000159;NA;1925-06-17;1926-05-09;NA;Protocol For The Prohibition Of The Use In War Of Asphyxiating, Poisonous Or Other Gases, And Of Bacteriological Methods Of Warfare;NA;NA;No;NA;Global;;WASTE;NA; hazardous substances  |  military activities  |  toxicity/poisoning  |  data collection/reporting  |  certification  |  inspection  |  jurisdictional competence  |  law reform/harmonization/deregulation  |  maritime zone  |  navigation  |  transport/storage  |  standards ;NA;NA;Geneva;English | French;NA;France ;;94 LNTS 65 $ UKTS No.24 (1030) Cmnd. 3604 26 UST 571 TIAS 8061 RGBl. 1929 II 173;NA;(Source: IUCN ELC, 08.2005) Objective: To prohibit the use in war of asphyxiating, poisonous or other gases, and of bacteriological methods of warfare. Summary of provisions: The High Contracting Parties accept this prohibition and agree to extend it to the use of bacteriological methods of warfare. Moreover, they undertake to exert every effort to induce other States to accede to the Protocol.;www.icrc.org/ihl.nsf/intro/280;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
27;;MGENG-0027;TRE-153251;NA;1926-05-17;NA;NA;Exchange Of Notes Accepting The Protocol Signed At Kigoma, 5 August 1924, Relative To The Tanganyika-Ruanda-Urundi Frontier;http://www.ecolex.org/server2.php/libcat/docs/TRE/Full/Other/TRE-153251.doc;NA;No;NA;Regional/restricted; Africa  |  Eastern Africa ;FISHS and WATER;NA; international agreement-text  |  traditional rights/customary rights  |  inland fisheries  |  international basin institution  |  basin ;NA;NA;Brussels;English;NA;NA;;;NA;"
The British Ambassador and the Belgian Minister for Foreign Affairs at Brussels establish by letter the boundaries of Tanganika Lake between Tanganyika territory and the Belgian mandated territory of Ruanda-Urundi. They agree that, notwithstanding the new boundary in Lake Tanganyika which is defined by the paragraph all customary rights of fishing and passage exercised by natives living on either side of it should be preserved, but that, at the same time, even with regard to the rights of fishing and passage, the respective Governments should preserve their common law rights and should not, for instance, be debarred from levying a fishing tax on all persons alike who use their territorial waters.
";NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
28;;MGENG-0028;NA;IEA-2606;1929-12-17;1931-04-03;NA;Agreement Regarding The Regulation Of Plaice (Pleuronectes Platessa) And Flounder (Pleuronectes Flesus) Fishing In The Baltic Sea;http://iea.uoregon.edu/pages/view_treaty.php?t=1929-RegulationPlaiceFlounderBalticSea.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;Baltic Sea Fishing;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Baltic Sea Fishery Commission;The IBSFC ceased to exist on 1 January 2007.;NA;NA;NA;NA;NA;TRUE;TRUE;NA
29;;MGENG-0029;TRE-000073;NA;1931-09-24;1935-01-16;NA;Convention For The Regulation Of Whaling;NA;NA;No;NA;Global;;OCEAN;NA; biological diversity  |  data collection/reporting  |  marine fisheries  |  hunting gear/hunting methods  |  hunting rights  |  hunting/capture  |  marine mammals  |  maritime zone  |  monitoring  |  protected animal species  |  marine resources management ;NA;NA;Geneva;English | French;NA;League of Nations ;;49 Stat.3079 155 LNTS 349 $ UKTS No.33 (1934) TS 880 3 Bevans 26;NA;"
Applies only to baleens or whalebone whales. The taking of certain species of whale is prohibited as is the taking of immature or suckling whales. Vessels huting whales must be authorized by permit. Record keeping is required and Parties are obliged to make regular reports to the International Bureau for Whaling Statistics.
";NA;NA;NA;NA;NA;NA;NA;NA;NA;FALSE;FALSE;FALSE
30;;MGENG-0030;NA;IEA-2608;1932-12-31;1933-06-22;NA;Convention Between Denmark, Norway And Sweden Concerning The Preservation Of Plaice In The Skagerak, Kattegat And Sound;http://iea.uoregon.edu/pages/view_treaty.php?t=1932-PreservationPlaiceSkagerakKattegat.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;Baltic Sea Fishing;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Baltic Sea Fishery Commission;The IBSFC ceased to exist on 1 January 2007.;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE
31;;MGENG-0031;NA;IEA-2611;1937-03-23;9999-00-00;1937-09-23;Convention For The Regulation Of The Meshes Of Fishing Nets And The Size Limits Of Fish;http://iea.uoregon.edu/pages/view_treaty.php?t=1937-MeshFishingNets.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS;NA;Northeast Atlantic Fisheries;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northeast Atlantic Fisheries Commission;http://www.neafc.org/;NA;NA;NA;NA;NA;TRUE;TRUE;NA
32;;MGENG-0032;NA;IEA-2613;1937-09-06;1938-03-23;NA;Convention Between Denmark, Norway And Sweden Concerning The Preservation Of Plaice And Dab In The Skagerrak, Kattegat And Sound;http://iea.uoregon.edu/pages/view_treaty.php?t=1937-PreservationPlaiceDabSkagerrakKattegat.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS and OCEAN;NA;Baltic Sea Fishing;300;NA;NA;NA;NA;;NA;NA;NA;NA;NA;International Baltic Sea Fishery Commission;The IBSFC ceased to exist on 1 January 2007.;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE
33;;MGENG-0033;NA;IEA-4420;1941-02-10;1941-02-10;NA;Agreement Between The Governments Of The Republic Of Paraguay, The Republic Of Argentina, And The Republic Of Bolivia Concerning The Diversion Of Waters Of The River Pilcomayo;http://iea.uoregon.edu/pages/view_treaty.php?t=1941-DiversionWatersRiverPilcomayo.SP.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;WATER;NA;Rio Pilcomayo;100;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Comision Trinacional Para El Desarrollo De La Cuenca Del Rio Pilcomayo;http://www.pilcomayo.net/web/;NA;NA;NA;NA;NA;NA;NA;NA
34;%;MGENG-0034;TRE-000461;NA;1944-12-07;1947-04-04;NA;Convention On International Civil Aviation Annex 16 - Aircraft Noise;NA;Still in force as listed on New Zealand's treaty database under http://www.treaties.mfat.govt.nz/search/results | Listed on US Department of State's webpage, however, no overview about signing dates, raftications, etc.;No;NA;Global;;ATMOS;NA; aircraft noise  |  authorization/permit  |  certification  |  court/tribunal  |  dispute settlement  |  international organization  |  land-use planning  |  law reform/harmonization/deregulation  |  monitoring  |  noise standards  |  sovereignty  |  standards ;NA;NA;Chicago;English | French | Spanish;NA;United States of America ;http://www.state.gov/s/l/treaty/depositary/;BGBl. 1956 II 411, 442 UKTS No.8 (1953) Cmnd.8742 TIAS 1591 61 Stat 1180 3 Bevans 944;NA;"
Part I contains definitions. Part II contains standards adopted by the ICAO as the minimum noise certification standards applicable to the classifications of aircraft specified, where such aircraft are engaged in international air navigation. Parts III, IV and V contain recommended practices and guidance for use by states to promote uniformity in measurement of noise, monitoring procedures and establishing noise abatement operating procedures.
"; www.icao.int ;NA;NA;NA;NA;NA;NA;NA;19470527|19540614|19610621|19620915|19680924|19710312|19710707|19741016|19840510;FALSE;FALSE;FALSE
35;;MGENG-0035;NA;IEA-2619;1946-04-05;1953-04-05;NA;Convention For The Regulation Of The Meshes Of Fishing Nets And The Size Limits Of Fish;http://iea.uoregon.edu/pages/view_treaty.php?t=1946-MeshFishingNets.EN.txt&par=view_treaty_html;NA;No;MEA (Agreement);NA;NA;NA;FISHS;NA;Northeast Atlantic Fisheries;200;NA;NA;NA;NA;;NA;NA;NA;NA;NA;Northeast Atlantic Fisheries Commission;http://www.neafc.org/;NA;NA;NA;NA;NA;TRUE;TRUE;TRUE
36;%;MGENG-0036;TRE-000074;NA;1946-12-02;1948-11-10;NA;International Convention For The Regulation Of Whaling;NA;Still in force | http://www.state.gov/documents/organization/191051.pdf | https://treaties.un.org/pages/showDetails.aspx?objid=0800000280150135;No;NA;Global;;OCEAN;NA; data collection/reporting  |  marine fisheries  |  hunting authorization/permit  |  hunting gear/hunting methods  |  hunting/capture  |  institution  |  management/conservation  |  marine mammals  |  protected animal species  |  seasons  |  size  |  marine resources management ;NA;NA;Washington D.C.;English;NA; United States of America ;http://www.state.gov/documents/organization/191051.pdf;UKTS No.5 (1949) Cmnd.7604 TIAS 1849 62 Stat 1716 4 Bevans 248 BGBl. 1982 II 558;NA;"This abstract takes into consideration the amendment of 1956.
|
Objectives: To protect all species of whales from overfishing and safeguard for future generations the great natural resources represented by whale stocks and to establish a system of international regulation for the whale fisheries to ensure proper conservation and development of whale stocks.
|
Summary of provisions: Contracting Governments agree to take measures to enforce the regulations adopted by the International Whaling Commission for the conservation and utilisation of whale stocks, and to report any infraction to them to the Commission (art. 9).
|
Institutional mechanisms: An International Whaling Commission is established (art. 3). It is to encourage research and investigation, to collect and analyse statistical information, and to appraise and disseminate information concerning whaling and whale stocks (art. 4). The Commission is to meet annually to adopt the regulations mentioned above, dealing with protected and unprotected species, open and closed seasons, open and closed areas, size limits for species, maximum catches for any other season, types of gear and apparatus to be used (art. 5).
|
(Source: IUCN ELC, 08.2005, based on UNEP Register of International Treaties and Other Agreements in the Field of the Environment, 1996)"; iwc.int/home ;NA;NA;NA;NA;NA;NA;NA;19561119;FALSE;FALSE;FALSE
37;;MGENG-0037;TRE-144643;NA;1947-02-06;1948-07-29;NA;Agreement Establishing The South Pacific Commission;NA;NA;No;NA;Regional/restricted;;FISHS;NA; data collection/reporting  |  fishery management and conservation  |  forest management/forest conservation  |  indigenous peoples  |  institution  |  international relations/cooperation  |  law reform/harmonization/deregulation  |  management/conservation  |  nutrition  |  research ;NA;NA;Canberra;English | French;NA; Australia ;;;NA;"
Objectives: To establish the South Pacific Commission. Summary of provisions: Art. II defines the territorial scope of the Commission, which is to be a consultative and advisory body in matters affecting theeconomic and social development of non-self-governing territories administered by the participating Governments and the welfare and advancement of their peoples (art. IV). To this end, the Commission is, inter alia, to provide for and facilitate research in technical, scientific, economic and social fields, ensure the maximum co-operation and co-ordination of the activities of research bodies, make recommendations for the co-ordination of local projects, and provide technical assistance, advice and information for the Parties. The Commission is also to promote co-operation with, inter alia, non-governmental organisations of a public or quasi-public character having common interests in the area. Institutional mechanisms: The South Pacific Commission is established (art. I).
";www.info.dfat.gov.au/info/historical/HistDocs.nsf/d30d79e4ab5621f9ca256c8600163c0d/a93b0ecb02bfce37ca256b7f000571f3?OpenDocument;NA;NA;NA;NA;NA;NA;NA;19511107|19540405|19641006|19781013;FALSE;FALSE;FALSE
