"IEA# (click for add'l info)","Inclusion","Signature Year","Signature Date","Date IEA entered into force","Treaty Name","Treaty Text","Members","Agreement Type (level 2)","Lineage","Sequence in lineage","Data","Articles, etc.","Secretariat","UNEP Info"
"1800","BuA","1856","1856-12-02","1857-08-24","Treaty Between France And Spain Determining The Frontier From The Mouth Of The Bidassoa To The Point Where The Department Basses Pyrenees Meets Aragon And Navarre","","Members","Agreement","Bidassoa","200.000","Data","Lit","Secretariat not yet identified",""
"4047","BEA","1857","1857-01-14","","Newfoundland Fisheries Convention","","Members","Agreement","Newfoundland Fisheries","100.000","Data","Lit","No known secretariat",""
"4672","MEA","1857","1857-08-31","1858-03-22","Agreement respecting the regulation of the flow of water from Lake Constance","Treaty Text**","Members","Agreement","Lake Constance Navigation","100.000","Data","Lit","Internationale Gewasserschutz-Kommission fur den Bodensee",""
"1","BEA","1858","1858-08-31","1859-01-01","Agreement Between Austria And Bavaria Concerning The Regulation And Management Of The Inn River From Its Junction With The Salzach At Rothenbuch To The Point Where It Discharges Into The Danube At Passau","","Members","Agreement","Danube","100.000","Data","Lit","International Commission for the Protection of the Danube",""
"2","BEA","1859","1859-03-31","1860-01-01","Fishing Regulations For The Bidassoa River Agreed Upon By The Delegates Of The French And Spanish Municipalities Located Along The River","","Members","Agreement","Bidassoa","300.000","Data","Lit","Secretariat not yet identified",""
"3","BEA","1863","1863-05-12","","Treaty To Regulate The Diversion Of Water From The River Meuse","","Members","Agreement","Meuse","100.000","Data","Lit","Commission Internationale pour la Protection de la Meuse",""
"3566","MNA","1867","1867-09-22","","International Regulations Relating To Navigation On Lake Constance","","Members","Agreement","Lake Constance Navigation","200.000","Data","Lit","Secretariat not yet identified",""
"2226","BuN","1867","1867-09-28","1868-03-01","Regulations And Protocol Between Baden And Switzerland Concerning Navigation On The Untersee And On The Rhine Between Constance And Schaffhausen","","Members","Resolution","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4","BEA","1867","1867-11-11","1868-01-14","Convention Between France And Great Britain Relative To Fisheries","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"3380","MEA","1868","1868-10-17","1869-04-17","Police Regulations under the Revised (1868) Convention On The Navigation Of The Rhine Concerning The Transport On The Rhine Of Inflammable, Corrosive, And Poisonous Substances","","Members","Amendment","Rhine Pollution","100.010","Data","Lit","Central Commission for Navigation on the Rhine",""
"3567","MNA","1868","1868-10-17","1869-04-17","Revised Convention On The Navigation Of The Rhine","","Members","Agreement","Rhine Pollution","100.000","Data","Lit","Central Commission for Navigation on the Rhine",""
"4666","MEA","1868","1868-10-17","1869-04-17","Annex II to the Convention Relative To The Carriage Of Inflammable Substances On The Rhine (Regulations for transportation on the Rhine flammable or corrosive materials and poisons)","Treaty Text**","Members","Protocol","Rhine Pollution","200.000","Data","Lit","Central Commission for Navigation on the Rhine",""
"5","BEA","1869","1869-12-09","1870-02-28","Convention Between The Grand Duchy Of Baden And Switzerland Concerning Fishing In The Rhine Between Constance And Basel","","Members","Agreement","Rhine - Lake Constance Fishing","100.000","Data","Lit","Secretariat not yet identified",""
"4048","BEA","1870","1870-07-17","1871-08-22","Additional Article Regarding the Fishery in the Great Lake of Cambodia","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4049","BEA","1871","1871-05-08","","Treaty between Great Britain and the U.S. concerning Access Rights to the American North Atlantic","","Members","Agreement","UK/United States Access Rights to American North Atlantic","300.000","Data","Lit","No known secretariat",""
"1801","BEA","1871","1871-09-19","1871-10-31","Preliminary Convention Between Austria And Switzerland For The Rectification Of The Course Of The Rhine","","Members","Agreement","Rhine Course Rectification","100.000","Data","Lit","Secretariat not yet identified",""
"6","BEA","1873","1873-01-11","","Convention Amending The Treaty To Regulate The Diversion Of Water From The River Meuse","","Members","Agreement","Meuse","200.000","Data","Lit","Commission Internationale pour la Protection de la Meuse",""
"1802","BuA","1874","1874-07-20","","Articles Of Agreement Between The Edur Durbar And The British Government","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"7","BEA","1875","1875-03-25","1875-12-05","Convention Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance","Treaty Text**","Members","Agreement","Rhine - Lake Constance Fishing","200.000","Data","Lit","Secretariat not yet identified",""
"1276","BEN","1875","1875-11-29","1875-11-29","Declaration For The Protection Of Birds Useful To Agriculture","","Members","Declaration","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"1277","BEN","1875","1875-11-30","1875-12-05","Declaration (Switzerland) Related To The Convention Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance","Treaty Text**","Members","Declaration","Rhine - Lake Constance Fishing","200.010","Data","Lit","Secretariat not yet identified",""
"1278","BEN","1875","1875-12-05","1875-12-05","Declaration (Baden) Related To The Convention Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance","Treaty Text**","Members","Declaration","Rhine - Lake Constance Fishing","200.020","Data","Lit","Secretariat not yet identified",""
"4060","MEA","1876","1876-10-28","1877-01-01","Treaty concerning the Jan Mayen Seal Fishery","Treaty Text**","Members","Agreement","Jan Mayen Seal Fishery","100.000","Data","Lit","No known secretariat",""
"2584","MEA","1877","1877-07-14","1877-09-29","Convention Between Alsace-Lorraine And The Two Initial Parties To The Convention Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance","Treaty Text**","Members","Agreement","Rhine - Lake Constance Fishing","300.000","Data","Lit","Secretariat not yet identified",""
"1803","BEA","1878","1878-01-20","1878-01-20","Proces-Verbal Between Austria-Hungary And Switzerland Concerning The Preliminary Convention Between Austria And Switzerland For The Rectification Of The Course Of The Rhine Between Vorarlberg And St Gallen","","Members","Other Binding Modification","Rhine Course Rectification","101.000","Data","Lit","Secretariat not yet identified",""
"4050","BEA","1878","1878-07-14","","Spanish-Portugese Treaty on Spanish Fishing Access","","Members","Agreement","Spanish Fishing Access","100.000","Data","Lit","No known secretariat",""
"2585","MEA","1878","1878-09-17","1880-01-15","Convention On Measures To Be Taken Against Phylloxera Vastatrix","Treaty Text**","Members","Agreement","International Plant Protection","100.000","Data","Lit","International Plant Protection Convention Secretariat",""
"4051","BEA","1878","1878-12-27","","Treaty between Italy and Austria-Hungary concerning Commerce and Navigation on the Dalmatian Coast","","Members","Agreement","Dalmation Coast Commerce","100.000","Data","Lit","No known secretariat",""
"3381","MEA","1879","1879-09-02","2899-01-01","New Police Regulations under the Revised (1868) Convention On The Navigation Of The Rhine Concerning The Transport Of Explosive, Inflammable, Corrosive And Poisonous Substances On The Rhine, Established By The Central Commission","","Members","Amendment","Rhine Pollution","100.020","Data","Lit","Central Commission for Navigation on the Rhine",""
"8","BEA","1880","1880-01-19","","Convention Between The Grand Duchy Of Hesse And The Kingdom Of Prussia For The Protection And Promotion Of Fishing And Additional Convention","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"9","BEA","1880","1880-12-28","1882-12-22","Convention Between France And Switzerland Regulating Fishing In The Frontier Waters","","Members","Agreement","French Swiss Frontier Fishing","100.000","Data","Lit","Secretariat not yet identified",""
"3896","MuN","1881","1881-05-19","1881-07-01","Regulations Of Navigation And Police Applicable To The Danube Between Galatz And The Mouths, Drawn Up By The European Commission Of The Danube (Austria-Hungary, France, Germany, Great Britain, Italy, Roumania, Russia And Turkey)","","Members","Resolution","Danube Navigation","100.000","Data","Lit","Danube Commission Secretariat",""
"4052","BEA","1881","1881-10-03","","Treaty between Italy and France concerning Access Rights to Algerian Waters","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"2586","MEA","1881","1881-11-03","1882-05-14","Convention Respecting Measures To Be Taken Against Phylloxera Vastatrix","Treaty Text**","Members","Agreement","International Plant Protection","200.000","Data","Lit","International Plant Protection Convention Secretariat",""
"10","BEA","1882","1882-02-23","1882-05-16","Agreement on Neighbourly Relations and Monitoring of the Forests on the Border between France and Switzerland","Treaty Text**","Members","Agreement","French Swiss Frontier Forests","100.000","Data","Lit","No known secretariat",""
"4054","MEA","1882","1882-05-06","1884-05-15","Convention for Regulating the Police of the North Sea Fisheries (Overfishing Convention)","Treaty Text**","Members","Agreement","North Seas Fishery","100.000","Data","Lit","No known secretariat",""
"1804","BEA","1882","1882-06-07","1882-06-07","Protocol Relative To The Preliminary Convention Between Austria And Switzerland For The Rectification Of The Course Of The Rhine Between Austria-Hungary And The Swiss Canton Of St Gallen","","Members","Protocol","Rhine Course Rectification","102.000","Data","Lit","Secretariat not yet identified",""
"11","BEA","1882","1882-11-08","1883-02-14","Convention Between Italy And Switzerland Concerning Fishing In The Frontier Waters","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4055","BEA","1883","1883-07-27","","Japan-Korea Fishing Agreement","","Members","Agreement","Japan/Korea Fishing","100.000","Data","Lit","No known secretariat",""
"12","BEA","1883","1883-08-09","1885-01-23","Convention Between Austria-Hungary And Italy Concerning Fishing In Lake Garda","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4056","BEA","1883","1883-12-12","","Spanish-Portugese Treaty on Spanish Fishing Access","","Members","Agreement","Spanish Fishing Access","200.000","Data","Lit","No known secretariat",""
"4477","MEA","1884","1884-03-15","1884-05-15","Protocol of Application to the Convention for Regulating the Police of the North Sea Fisheries","Treaty Text**","Members","Protocol","North Seas Fishery","101.000","Data","Lit","No known secretariat",""
"4057","BEA","1884","1884-05-11","","Treaty between Italy and Austria-Hungary concerning Commerce and Navigation on the Dalmatian Coast","","Members","Agreement","Dalmation Coast Commerce","200.000","Data","Lit","No known secretariat",""
"2587","MEA","1884","1884-09-21","2899-01-01","Additional Convention Between Switzerland, Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries (Amendment to Convention of 1875 Between Baden And Switzerland Concerning Fishing In The Rhine And Its Influxes As Well As In Lake Constance)","Treaty Text**","Members","Amendment","Rhine - Lake Constance Fishing","400.000","Data","Lit","Internationale Gewasserschutz-Kommission fur den Bodensee",""
"4518","MEA","1884","1884-09-21","2899-01-01","Protocol to the Additional Convention Between Switzerland, Baden And Alsace-Lorraine Concerning Fishing In Lake Constance And Its Tributaries","Treaty Text**","Members","Protocol","Rhine - Lake Constance Fishing","401.000","Data","Lit","Internationale Gewasserschutz-Kommission fur den Bodensee",""
"13","BEA","1884","1884-10-31","1885-08-07","Additional Convention for the Suppression of Illegal Hunting to the Agreement on Neighbourly Relations and Monitoring of the Forests on the Border between France and Switzerland","Treaty Text**","Members","Agreement","French Swiss Frontier Forests","200.000","Data","Lit","No known secretariat",""
"14","BEA","1884","1884-12-09","","Arrangement Between France And Switzerland To Modify The Convention Between France And Switzerland Regulating Fishing In The Frontier Waters","","Members","Amendment","French Swiss Frontier Fishing","101.000","Data","Lit","Secretariat not yet identified",""
"2227","MEA","1885","1885-02-26","1886-04-19","General Act Of The Conference At Berlin Of The Plenipotentiaries Of Great Britain, Austria-Hungary, Belgium, Denmark, France, Germany, Italy, The Netherlands, Portugal, Russia, Spain, Sweden And Norway, Turkey, And The United States Respecting: (1) Freedom Of Trade In The Basin Of The Congo; (2) The Slave Trade; (3) Neutrality Of The Territories In The Basin Of The Congo; (4) Navigation Of The Congo; (5) Navigation Of The Niger; And (6) Rules For Future Occupation On The Coast Of The African Continent","Treaty Text**","Members","Agreement","Congo River Basin","100.000","Data","Lit","Secretariat not yet identified",""
"2588","MEA","1885","1885-06-30","1886-06-06","Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin","Treaty Text**","Members","Agreement","Rhine - Lake Constance Fishing","500.000","Data","Lit","Secretariat not yet identified",""
"4474","MEA","1885","1885-06-30","1886-06-06","Final Protocol to the Treaty Concerning The Regulation Of Salmon Fishery In The Rhine River Basin","Treaty Text**","Members","Protocol","Rhine - Lake Constance Fishing","501.000","Data","Lit","Secretariat not yet identified",""
"15","BEA","1885","1885-08-07","1886-06-22","Convention Concerning The Repression Of Hunting Offences","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4058","BEA","1885","1885-10-02","","Spanish-Portugese Treaty on Spanish Fishing Access","","Members","Agreement","Spanish Fishing Access","300.000","Data","Lit","No known secretariat",""
"16","BEA","1886","1886-02-18","1886-10-11","Convention Concerning Fishing In The Bidassoa","","Members","Agreement","Bidassoa","400.000","Data","Lit","Secretariat not yet identified",""
"2589","MEA","1887","1887-05-18","1887-10-19","Convention Between Switzerland, The Grand Duchy Of Baden, And Alsace-Lorraine, Establishing Uniform Provisions On Fishing In The Rhine And Its Tributaries, Including Lake Constance, With Final Protocol","Treaty Text**","Members","Agreement","Rhine - Lake Constance Fishing","600.000","Data","Lit","Secretariat not yet identified",""
"3568","MNA","1887","1887-11-16","","Convention To Cure The Abuses Generated By The Alcohol Trade Among Fishermen In The North Sea Outside Territorial Waters","","Members","Agreement","Not Yet Assigned","100.000","","","No known secretariat",""
"4059","MEA","1887","1887-11-16","1894-05-25","Convention respecting the Liquor Traffic in the North Sea","Treaty Text**","Members","Agreement","North Seas Fishery","300.000","Data","Lit","No known secretariat",""
"17","BEA","1887","1887-12-07","","Convention Designed To Remove The Danger Of Epizootic Diseases In The Territories Of The Two Countries","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"18","BEA","1888","1888-01-19","1888-09-20","Protocol Modifying Certain Articles Of The Convention Concerning Fishing In The Bidassoa","","Members","Protocol","Bidassoa","401.000","Data","Lit","Secretariat not yet identified",""
"1279","BEN","1888","1888-04-14","1888-09-01","Declaration Between France And Switzerland Aimed At Modifying The Convention Of December 28, 1880 Regulating Fishing In The Frontier Waters","","Members","Declaration","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4676","MEA","1889","1889-02-01","1890-02-21","Declaration modifying article 8 of the North Sea Fisheries Convention","Treaty Text**","Members","Amendment","North Seas Fishery","102.000","Data","Lit","No known secretariat",""
"2590","MEA","1889","1889-04-15","1890-01-01","Amending Convention Concerning An Addition To Article 3 Of The International Phylloxera Convention","Treaty Text**","Members","Amendment","International Plant Protection","200.010","Data","Lit","International Plant Protection Convention Secretariat",""
"1805","BuA","1889","1889-08-10","","Agreement Between Great Britain And France","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"1280","BEN","1889","1889-11-12","","Regulations Between Korea And Japan Respecting Fisheries","","Members","Resolution","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"19","BEA","1891","1891-03-12","1891-04-30","Convention Between Switzerland And France Regulating Fishing In The Frontier Waters","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"1806","BuA","1891","1891-04-15","","Protocol Between Great Britain And Italy For The Demarcation Of Their Respective Spheres","","Members","Protocol","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"20","BEA","1891","1891-06-15","1891-06-15","Agreement Between The Government Of The United States of America And The Government Of Her Britannic Majesty For A Modus Vivendi In Relation To Fur Seal Fisheries In Bering Sea","","Members","Agreement","North Pacific Fur Seals","100.000","Data","Lit","North Pacific Fur Seal Commission",""
"21","BEA","1891","1891-07-30","","Additional Convention To The Convention Between France And Switzerland Regulating Fishing In The Frontier Waters","","Members","Agreement","French Swiss Frontier Fishing","200.000","Data","Lit","Secretariat not yet identified",""
"22","BEA","1891","1891-12-06","1892-01-30","Convention Concerning Contagious Animal Diseases Austria-Hungary And Germany","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4061","BEA","1891","1891-12-06","","Treaty between Italy and Austria-Hungary concerning Commerce and Navigation on the Dalmatian Coast","","Members","Agreement","Dalmation Coast Commerce","300.000","Data","Lit","No known secretariat",""
"1807","BuA","1891","1891-12-18","1891-12-18","Agreement Between The Secretary Of State Of The United States And The Envoy Extraordinary And Minister Plenipotentiary Of Great Britain On The Text Of Articles For Insertion In The Bering Sea Arbitration Agreement","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"23","BEA","1892","1892-02-29","1892-05-07","Convention Relating To Fur Seals In Bering Sea","","Members","Agreement","North Pacific Fur Seals","200.000","Data","Lit","North Pacific Fur Seal Commission",""
"24","BEA","1892","1892-04-18","1892-05-07","Convention Between The Government Of The United States And The Government Of Her Britannic Majesty For The Renewal Of The Existing Modus Vivendi Regarding Fur Seals In The Bering Sea","","Members","Agreement","North Pacific Fur Seals","201.000","Data","Lit","North Pacific Fur Seal Commission",""
"3569","MNA","1892","1892-05-06","1894-03-01","Protocol Concerning A Revision Of The International Regulations Relating To Navigation On Lake Constance","","Members","Protocol","Lake Constance Navigation","201.000","Data","Lit","Secretariat not yet identified",""
"25","BEA","1892","1892-09-16","","Amended Terms Of Agreement Between The British Government And The State Of Jind, For Regulating The Supply Of Water For Irrigation","","Members","Amendment","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"26","BEA","1892","1892-11-05","1894-10-20","Convention Between The Grand Duchy Of Luxembourg And Prussia Concerning The Regulation Of Fisheries In Boundary Waters","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"1281","BEN","1892","1892-12-06","1892-12-06","Exchange Of Notes Between Great Britain And The United States Respecting The Preservation Of The Fisheries In The Waters Contiguous To Canada And The United States","","Members","Exchange of Notes","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4443","MEA","1893","1893-02-14","1894-05-25","Protocol to the Convention respecting the Liquor Traffic in the North Sea","Treaty Text**","Members","Protocol","North Seas Fishery","301.000","Data","Lit","No known secretariat",""
"4062","BEA","1893","1893-03-27","","Treaty of Commerce and Navigation between Spain and Portugal","","Members","Agreement","Spanish Fishing Access","400.000","Data","Lit","No known secretariat",""
"1282","BEN","1893","1893-05-22","","Arrangement Between Great Britain And Russia Concerning A System Of Protection Of Fur Seals In The North Pacific Ocean","","Members","Arrangement","North Pacific Fur Seals","300.000","Data","Lit","North Pacific Fur Seal Commission",""
"2591","MEA","1893","1893-07-05","1893-12-22","Convention Between Austria-Hungary, Baden, Bavaria, Liechtenstein, Switzerland And Wurttemberg Decreeing Uniform Regulations For Fishing In Lake Constance, Including A Final Protocol","Treaty Text**","Members","Agreement","Rhine - Lake Constance Fishing","700.000","Data","Lit","Internationale Gewasserschutz-Kommission fur den Bodensee",""
"1808","BuA","1893","1893-08-29","","Agreement Between The British Government And The Patiala State Regarding The Sirsa Branch Of The Western Jumna Canal","","Members","Agreement","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"4064","BEA","1893","1893-10-27","","Spanish-Portugese Treaty on Spanish Fishing Access","","Members","Agreement","Spanish Fishing Access","500.000","Data","Lit","No known secretariat",""
"27","BEA","1894","1894-05-04","","Agreement Between The United States of America And Russia For A Modus Vivendi In Relation To The Fur Seal Fisheries In The Bering Sea And The North Pacific Ocean","","Members","Agreement","North Pacific Fur Seals","400.000","Data","Lit","North Pacific Fur Seal Commission",""
"1283","BEN","1894","1894-10-04","1898-12-17","Declaration Between France And Spain Concerning The Fishing Of Oysters In The Bidassoa, Modifying Article 4 Of The Convention Concerning Fishing In The Bidassoa","","Members","Declaration","Bidassoa","401.010","Data","Lit","Secretariat not yet identified",""
"2228","BuN","1895","1895-02-04","","Exchange Of Letters Between Great Britain And France","","Members","Exchange of Notes","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
"28","BEA","1896","1896-02-08","1896-06-03","Convention For The Settlement Of Claims Presented By Great Britain Against The United States In Virtue Of The Convention Relating To Fur Seals In Bering Sea","","Members","Agreement","North Pacific Fur Seals","202.000","Data","Lit","North Pacific Fur Seal Commission",""
"1284","BEN","1897","1897-01-30","","Exchange Of Notes Between Austria-Hungary And Italy Concerning The Modification Of The Convention Of August 9, 1883 Relative To Fishery In Lake Garda","","Members","Exchange of Notes","Not Yet Assigned","100.000","","","Secretariat not yet identified",""
